; PROGRAM; IDENT; DO; ENDPROGRAM; GLOBAL; SEMICOLON; CHANGEMODE; COLON; TYPE; FUN; RETURNS; ENDFUN; LOCAL; LPAREN; RPAREN; COMMA; MECHMODE; SKIP; BECOMES; IF; THEN; ENDIF; ELSE; WHILE; ENDWHILE; LITERAL; DEBUGIN; DEBUGOUT; CALL; BOOLOPR; RELOPR; ADDOPR; MULTOPR; CASTSTOI; CASTSTOL; CASTLTOS; CASTLTOI; CASTITOS; CASTITOL; INIT; NOT; PROC; null
term8NTS; ; ; ɛ; ɛ; ; ɛ; ; ; ; ; ; ɛ; ; ; ɛ; ɛ; ; ; ɛ; ; ɛ; ɛ; ɛ; ; ɛ; ; ; ; ; ɛ; ɛ; ɛ; ; ɛ; ɛ; ɛ; CASTLTOI <term9> <term8NTS>; ɛ; ɛ; ; ; ; ɛ
term9; ; <factor> <term9NTS>; ; ; ; ; ; ; ; ; ; ; ; <factor> <term9NTS>; ; ; ; ; ; ; ; ; ; ; ; <factor> <term9NTS>; ; ; ; ; ; <factor> <term9NTS>; ; ; ; ; ; ; ; ; <factor> <term9NTS>; ; 
term9NTS; ; ; ɛ; ɛ; ; ɛ; ; ; ; ; ; ɛ; ; ; ɛ; ɛ; ; ; ɛ; ; ɛ; ɛ; ɛ; ; ɛ; ; ; ; ; ɛ; ɛ; ɛ; MULTOPR <factor> <term9NTS>; ɛ; ɛ; ɛ; ɛ; ɛ; ɛ; ; ; ; ɛ
factor; ; IDENT <factorNTS>; ; ; ; ; ; ; ; ; ; ; ; LPAREN <expr> RPAREN; ; ; ; ; ; ; ; ; ; ; ; LITERAL; ; ; ; ; ; <monadicOpr> <factor>; ; ; ; ; ; ; ; ; <monadicOpr> <factor>; ; 
factorNTS; ; ; ɛ; ɛ; ; ɛ; ; ; ; ; ; ɛ; ; <exprList>; ɛ; ɛ; ; ; ɛ; ; ɛ; ɛ; ɛ; ; ɛ; ; ; ; ; ɛ; ɛ; ɛ; ɛ; ɛ; ɛ; ɛ; ɛ; ɛ; ɛ; INIT; ; ; ɛ
exprList; ; ; ; ; ; ; ; ; ; ; ; ; ; LPAREN <exprListLparenNTS> RPAREN; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
exprListLparenNTS; ; <expr> <exprListNTS>; ; ; ; ; ; ; ; ; ; ; ; <expr> <exprListNTS>; ɛ; ; ; ; ; ; ; ; ; ; ; <expr> <exprListNTS>; ; ; ; ; ; <expr> <exprListNTS>; ; ; ; ; ; ; ; ; <expr> <exprListNTS>; ; 
exprListNTS; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ɛ; COMMA <expr> <exprListNTS>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
monadicOpr; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ADDOPR; ; ; ; ; ; ; ; ; NOT; ; 
cpsStoDecl; ; <stoDecl> <cpsStoDeclNTS>; ; ; ; ; <stoDecl> <cpsStoDeclNTS>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
cpsStoDeclNTS; ; ; ɛ; ; ; SEMICOLON <stoDecl> <cpsStoDeclNTS>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
procDecl; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; PROC IDENT <paramList> <procDeclNTS> DO <cpsCmd> ENDPROC; 
procDeclNTS; ; ; ; ; ; ; ; ; ; ; ; ; LOCAL <cpsStoDecl>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
